generation,min,max,mean,stdev
0,1731.1695167751946,2009.7401148630029,1885.0032153008376,58.93596929169206
1,1731.1695167751946,2009.7401148630029,1880.3712441289365,53.96891605970476
2,1731.1695167751946,2009.7401148630029,1877.959638968313,52.24249192761251
3,1693.9157080538478,2027.554641623294,1874.850471941478,52.159021883375075
4,1693.9157080538478,1929.4449975716532,1859.231612255473,43.682453059033115
5,1693.9157080538478,1875.8352636292093,1829.1089206079885,35.18536069979241
6,1650.871927025989,1851.3188505814423,1811.0245928836537,32.06249897944569
7,1650.871927025989,1835.937327940945,1796.989648499485,30.292545548368576
8,1650.871927025989,1820.8176783812105,1785.5565565312736,28.012840085245227
9,1650.871927025989,1810.1184877128298,1776.275253633009,27.052865406847193
10,1650.871927025989,1800.3543898836404,1767.1639457362376,26.424604499579267
11,1650.871927025989,1806.6485300596353,1770.3945688330834,28.22905403956186
12,1650.871927025989,1795.0789091699112,1760.5517032985167,27.076947165206075
13,1648.4889929099088,1789.7750468699946,1756.2025512158136,27.07947724439784
14,1648.4889929099088,1784.00268794855,1750.6418644062583,26.552626661683387
15,1624.8574052953766,1777.9087496259074,1745.3785680854442,26.147345824548072
16,1624.8574052953766,1772.5437896214494,1740.52074426219,25.25460744189137
17,1618.7310461239583,1768.0877521048872,1735.6894476276855,24.941859330627167
18,1607.0225536646697,1762.17593874142,1730.967226132643,24.23814518241808
19,1607.0225536646697,1757.1360518438373,1726.6530078968115,23.559605124812652
20,1607.0225536646697,1751.164698314787,1721.509079061475,23.194202628103042
21,1607.0225536646697,1745.760332813727,1717.3307378943005,22.87642714778431
22,1607.0225536646697,1741.9822703219788,1713.0897307634823,22.80321416195254
23,1607.0225536646697,1737.659411006883,1709.7887308404092,22.252112772396178
24,1607.0225536646697,1734.155260875616,1706.7602468489918,21.55679660499083
25,1607.0225536646697,1730.160713414715,1702.8309036740072,21.491675765554596
26,1607.0225536646697,1726.239092932913,1698.2434971672067,21.823130300768582
27,1607.0225536646697,1721.9425012704357,1694.0233680057943,21.647099211039258
28,1582.7097654329764,1716.9611546982587,1689.792102112094,21.981157417818185
29,1582.7097654329764,1713.1635144216502,1685.926717942897,21.86418062196704
30,1582.7097654329764,1708.8702660740332,1682.6305133344683,21.67279953450917
31,1582.7097654329764,1705.5637973359044,1679.342283681296,21.736536003082236
32,1582.7097654329764,1702.065388491926,1675.8104939133316,21.977521668057808
33,1582.7097654329764,1698.9753758233155,1672.6337959049076,21.686457659917533
34,1580.9339962444324,1695.5582559293482,1669.7714109505707,21.64368575469913
35,1556.569650814866,1692.2064478303507,1666.1734742773342,22.174623188437778
36,1545.6591269942626,1689.2194735927499,1662.7893084286768,22.72854248185074
37,1543.3990582334632,1686.050921451349,1658.7172726483186,23.674073721581323
38,1543.3990582334632,1683.2054554107117,1655.055247131932,24.32141672384001
39,1538.6278955792384,1680.292142333909,1651.458407923041,24.677475212141726
40,1538.6278955792384,1676.2783557427379,1648.3047667330254,24.728261460738615
41,1538.6278955792384,1672.9896651878744,1644.9816466956177,25.06646251206798
42,1537.2392348070925,1669.2019565014552,1640.8331828610446,25.578867176295617
43,1504.8176855619367,1666.3938564516454,1637.0413083834756,26.269621130995944
44,1504.8176855619367,1663.1805599805748,1633.3818904306574,26.343591855445737
45,1504.8176855619367,1659.8499500724909,1629.2101228837832,26.570966611368622
46,1504.8176855619367,1655.6686120651789,1624.6245100215633,26.340407739968427
47,1504.8176855619367,1651.789685526565,1620.2714337859884,26.34930691107528
48,1504.8176855619367,1647.350927168382,1616.3506068341198,26.4466621995076
49,1504.8176855619367,1643.8968337205517,1612.5938257405942,26.218362359442416
50,1504.8176855619367,1640.2451663446764,1608.694659457628,26.004477782535197
51,1486.1462609888933,1636.0539894480773,1603.6186665397665,26.09006450018078
52,1486.1462609888933,1629.9429334062718,1597.8623134000554,26.105392072886257
53,1486.1462609888933,1625.9286527618785,1593.1145653979686,25.93751611301738
54,1486.1462609888933,1620.1509361921896,1587.19465706491,25.777192729013887
55,1485.6710196299966,1614.3937011679945,1581.4731248602584,25.514875317977097
56,1482.465684798463,1607.6005044227795,1575.5510712847142,25.03348038614627
57,1482.465684798463,1602.0276869919714,1570.0742935574976,24.708803163953682
58,1468.9311257245902,1596.4206762797223,1564.3763750931134,24.915837923510193
59,1468.9311257245902,1589.0711385144166,1558.1791847499412,24.573025265731104
60,1468.9311257245902,1583.2219539470814,1551.9209315605638,24.82177501614065
61,1468.9311257245902,1576.9359180290044,1546.080609689435,24.32525493926035
62,1465.5719879735802,1569.1019809146323,1538.2518993786382,23.66507083245932
63,1464.4096000091258,1562.2656847092317,1531.4013507438772,22.494544658218327
64,1450.8549135434557,1552.9698566218494,1522.4812133796952,21.16049488220867
