generation,min,max,mean,stdev
0,29417.16129156329,35124.28535529864,32301.90845139326,940.8181417157263
1,29417.16129156329,31891.110608020197,31254.58331983084,486.2780680600921
2,29194.220675193337,31276.5029700765,30792.253884337395,413.0814908843317
3,28925.62596874327,31067.37797297768,30571.195726654743,414.6261588977502
4,28870.12881695099,30815.82968506272,30326.592531218546,402.0979235739476
5,28226.33180074362,30598.99820869101,30104.18313013622,396.3602243385227
6,27956.541193429333,30409.35412901485,29929.68314690794,384.2735679808201
7,27956.541193429333,30229.55067611408,29764.55838754497,378.1690429552924
8,27956.541193429333,30087.584837137325,29635.619356724714,359.50919452236815
9,27956.541193429333,29940.868905685802,29513.081311852973,358.0391016103852
10,27956.541193429333,29830.880664134267,29411.44056754659,352.7424134053352
11,27812.554325655685,29709.42207952824,29302.343129407982,354.8023078954465
12,27379.518094391096,29611.421774782866,29197.704022036305,351.954963629107
13,27379.084117954917,29506.405769243418,29097.595356836307,353.3408640421979
14,27167.785859178934,29406.887429149698,28999.706768653155,359.5284368730005
15,27167.785859178934,29327.895320553424,28899.92152630571,360.2793789947819
16,27167.785859178934,29246.099458331355,28814.73517083421,356.7940398098174
17,26499.201336795846,29153.962609122023,28728.08141821639,362.2838060332056
18,26365.303910144543,29060.201061625077,28635.250356116536,370.9557934003313
19,26299.07873346774,28982.586486611926,28548.637084755774,375.54914868885305
20,26299.07873346774,28895.95109841154,28462.381836299184,401.8141852946104
21,26204.38436546503,28808.041144151714,28361.37662105087,421.00061685724256
22,26167.336524250168,28717.823870606848,28263.704061072487,439.4156774065183
23,26167.336524250168,28618.75149644575,28143.306023890178,479.8398686129812
24,26022.638241642187,28534.01147402722,28023.382565607662,509.12118344920873
25,26022.638241642187,28446.91052365529,27907.992813480938,529.7090580782292
26,26022.638241642187,28344.04627691534,27752.273035501694,561.7287716510543
27,26022.638241642187,28190.0128222262,27556.54532618971,578.8520578719298
28,25930.22911891722,28019.756793282213,27299.39325240211,580.2564963887063
29,25673.600165312877,27766.476831678912,26996.412013936813,510.8532432289798
30,25511.249945803764,27322.179252232752,26680.950638377006,355.54482560462577
31,25511.249945803764,26877.870949506578,26470.373069686175,227.38489505922897
32,25511.249945803764,26618.35611227406,26360.06313826271,179.18827405129932
33,25511.249945803764,26486.051924546733,26275.271054830282,174.4789992447631
34,25487.203353246197,26392.45591440825,26197.512478844335,181.20455811282054
35,25421.811407402212,26328.301402602305,26126.07539162282,180.9800696559045
36,25421.811407402212,26261.86489816234,26054.60971758724,176.49616237588467
37,25299.335124223635,26193.244195122625,25983.481084502666,171.5156483807443
38,25240.54952419097,26114.192262372388,25911.084857566253,166.5132822237512
39,24939.863889932913,26046.211620176055,25839.0021768888,160.24771473918946
40,24939.863889932913,25975.198228689198,25776.889932317798,155.1866285000552
41,24939.863889932913,25907.157582365904,25721.175341690418,147.19906340511758
42,24939.863889932913,25849.52700696696,25670.072968899105,138.3865259969211
43,24939.863889932913,25790.15430871092,25620.30101668443,136.0674709833594
44,24843.18677893391,25723.317678630436,25564.253171713226,137.37961045594338
45,24668.41109522451,25677.690681168962,25514.569383379472,144.06241135817544
46,24668.41109522451,25630.414504134522,25464.95816010699,146.11978724975546
47,24668.41109522451,25587.871081470166,25423.38042497837,142.72680424447816
48,24528.292334377224,25545.938187887874,25380.80167696731,143.4552610803541
49,24410.565008840076,25494.70815924745,25334.922321176055,144.39076615398656
50,24376.637722285563,25454.37587254953,25294.996833294023,149.4893593766512
51,24376.637722285563,25419.035845406943,25248.885879962017,158.20654890073354
52,24376.637722285563,25378.404497148425,25204.038917659367,163.32769080283467
53,24376.637722285563,25339.66534908214,25154.281670448374,165.48854113092293
54,24273.39041543653,25294.019175276837,25101.315937202176,165.10959883290096
55,24273.39041543653,25245.85621827386,25056.180626489564,165.81848332173792
56,24273.39041543653,25190.64468521787,25009.00463713811,163.40580844813903
57,24155.885425392844,25145.48777221106,24966.35635337728,164.6662560920489
58,24155.885425392844,25112.61572303047,24929.142762052306,164.74237698769633
59,24155.885425392844,25073.703127428806,24885.89936951321,164.35173578664214
60,24155.885425392844,25032.76286711852,24843.031313611304,165.45268546017067
61,24155.885425392844,24992.978701797347,24798.30930749241,165.05301722686468
62,24085.297413180237,24953.024254644453,24755.4815259794,162.43817589121772
63,24075.64401579659,24910.360247265602,24705.513092625424,157.25486004918753
64,24069.575647466063,24860.380668430735,24661.302453044183,148.78280426795556
65,24069.575647466063,24803.093724877173,24618.230578176917,142.61967546928665
66,24069.575647466063,24751.810067564704,24578.74633437096,137.24632899155918
67,24069.575647466063,24709.694862555614,24538.733547235814,133.86197758048283
68,24044.240948193696,24668.109793921838,24499.913801926527,133.95627282369412
69,24044.240948193696,24625.788781542877,24462.580110611845,129.7294377445062
70,23896.5372266569,24578.9323168985,24422.112415256903,128.46134366725823
71,23865.887788001834,24539.077515894813,24380.496644103077,126.70721545612903
72,23865.887788001834,24504.11496643813,24342.86037544334,122.247859486629
73,23865.887788001834,24459.97675498629,24303.676144820296,112.14771590774015
74,23763.94524894264,24412.26842452132,24267.216215428085,106.5772407332178
75,23727.646102556646,24368.726113621025,24233.807516183377,102.82950972111294
76,23714.68553159859,24326.006798417424,24201.326168382657,101.69873889498062
77,23462.894762084303,24295.679012364093,24173.87092921433,101.14489060778688
78,23462.894762084303,24269.358771302388,24146.02955796049,101.20594395208902
79,23462.894762084303,24234.047264310786,24119.0400406018,97.7898024651714
80,23462.894762084303,24207.320983577596,24095.921578940302,94.82423990828613
81,23462.894762084303,24184.44997972704,24073.811466882504,93.07512926941179
82,23462.894762084303,24158.666602047408,24053.65202847384,89.39233043749988
83,23462.894762084303,24137.306323082365,24033.85393830383,89.55045582060765
84,23462.894762084303,24115.611654555076,24009.414858736316,94.43651068543737
85,23462.894762084303,24092.998108707627,23988.27875130822,93.6298539761589
86,23462.894762084303,24076.154541308064,23968.212361102265,95.4548403818225
87,23462.894762084303,24059.492403881806,23945.102572761545,99.67319457716651
88,23447.483184906738,24036.128498605663,23925.123995719496,99.64995202601843
89,23447.483184906738,24020.66381219993,23905.775316354295,101.61425703758722
90,23447.483184906738,24001.00169917608,23884.722007966906,101.52557885602087
91,23447.483184906738,23978.357097161545,23859.990034602964,102.96365736652729
92,23447.483184906738,23958.81381703562,23841.89773467119,100.99893852460207
93,23327.169146358458,23936.845310167882,23818.837669663182,101.59335081281063
94,23327.169146358458,23916.016575982943,23796.70515856032,102.19341277305573
95,23327.169146358458,23898.742648397878,23777.100691791722,100.9599450227659
96,23245.32465956747,23876.644391813872,23751.923084256206,101.40330240816094
97,23059.448322149095,23858.61151691586,23729.907126958467,102.4322757103966
98,23059.448322149095,23831.3982157622,23711.595029282493,98.5516059721185
99,23059.448322149095,23804.62925745664,23689.571965632265,95.15317806704886
100,23059.448322149095,23785.34430899425,23670.806818008004,95.18817858527918
101,23059.448322149095,23763.437604390325,23653.653388426494,96.33183365668594
102,23059.448322149095,23742.594669057074,23633.898326285784,95.97171007862889
103,23059.448322149095,23724.160239936777,23614.968250929345,97.4420676792611
104,23059.448322149095,23702.067816248833,23590.499892127333,101.70839938445533
105,23059.448322149095,23681.1007310314,23568.72775887913,103.82475747761553
106,23041.234894659494,23662.716849867058,23548.05350892683,105.99881964077339
107,23011.28464381349,23642.90252705318,23524.26479709095,109.86507360564143
108,22966.9000738784,23620.599399952003,23504.883100024406,109.67939241316088
109,22966.9000738784,23600.96672567256,23484.564119784685,112.54756941508815
110,22966.9000738784,23584.434207546,23463.33893618727,116.63588274417341
